匯　率,,,,,
RATES,,,,,
,,  B. 即 期 匯 率,,                                ,
,,    Spot Exchange Rates,,                                  單位：新台幣元                                N.T. dollars per foreign currency,
民　　　國,,日　  　圓,,港　　  幣,
年　月　底,,Yen,,Hong Kong dollar,
,,買　進,賣　出,買　進,賣　出
End of month,,Buying,Selling,Buying,Selling
103(2014)   12(Dec.),,  0.2623 ,  0.2663 ,  4.05 ,  4.11 
104(2015)   12(Dec.),,  0.2707 ,  0.2747 ,  4.21 ,  4.27 
105(2016)   12(Dec.),,  0.2735 ,  0.2775 ,  4.13 ,  4.19 
,,,,,
105(2016)   11(Nov.),,  0.2806 ,  0.2846 ,  4.08 ,  4.14 
            12(Dec.),,  0.2735 ,  0.2775 ,  4.13 ,  4.19 
,,,,,
106(2017)    1(Jan.),,  0.2735 ,  0.2775 ,  4.01 ,  4.07 
             2(Feb.),,  0.2703 ,  0.2743 ,  3.93 ,  3.99 
             3(Mar.),,  0.2693 ,  0.2733 ,  3.88 ,  3.94 
,,,,,
             4(Apr.),,  0.2725 ,  0.2765 ,  3.88 ,  3.94 
             5(May ),,  0.2693 ,  0.2733 ,  3.84 ,  3.90 
             6(June),,  0.2696 ,  0.2736 ,  3.87 ,  3.93 
,,,,,
             7(July),,  0.2710 ,  0.2750 ,  3.84 ,  3.90 
             8(Aug.),,  0.2710 ,  0.2750 ,  3.83 ,  3.89 
,,,,,
,,,,,
,,,,,
民　　　國,,新　加　坡　幣,,泰　    銖,
年　月　底,,Singapore dollar,,Thai baht,
,,買　進,賣　出,買　進,賣　出
End of month,,Buying,Selling,Buying,Selling
103(2014)   12(Dec.),,  23.82 ,  24.02 ,  0.9454 ,  0.9854 
104(2015)   12(Dec.),,  23.15 ,  23.35 ,  0.8939 ,  0.9339 
105(2016)   12(Dec.),,  22.19 ,  22.39 ,  0.8838 ,  0.9238 
,,,,,
105(2016)   11(Nov.),,  22.26 ,  22.46 ,  0.8782 ,  0.9182 
            12(Dec.),,  22.19 ,  22.39 ,  0.8838 ,  0.9238 
,,,,,
106(2017)    1(Jan.),,  22.00 ,  22.20 ,  0.8740 ,  0.9140 
             2(Feb.),,  21.75 ,  21.95 ,  0.8621 ,  0.9021 
             3(Mar.),,  21.61 ,  21.81 ,  0.8649 ,  0.9049 
,,,,,
             4(Apr.),,  21.62 ,  21.82 ,  0.8635 ,  0.9035 
             5(May ),,  21.65 ,  21.85 ,  0.8676 ,  0.9076 
             6(June),,  21.99 ,  22.19 ,  0.8795 ,  0.9195 
,,,,,
             7(July),,  22.17 ,  22.37 ,  0.8917 ,  0.9317 
             8(Aug.),,  22.10 ,  22.30 ,  0.8924 ,  0.9324 
,,,,,
,,,,,
  ,資料來源：民國78年4月以前由外匯交易中心提供；4月起由第一商業銀行提供。,,,,
,"Source: Prior to Apr. 1989, the figures are provided by the Foreign Exchange Center, while beginning Apr. 1989 those are provided by",,,,
,             First Commercial Bank.,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
